marstat,car,age,gender
1,1,42,2
1,1,31,2
3,1,28,1
1,1,57,2
1,1,72,1
1,1,53,2
3,2,80,2
3,2,73,2
4,1,63,1
3,2,29,2
3,2,16,1
1,1,61,1
1,1,57,2
1,1,59,1
1,1,51,1
1,1,62,1
1,1,59,2
6,1,36,1
1,1,49,1
1,2,69,2
1,2,70,1
1,2,69,2
2,1,35,1
2,1,33,2
1,1,46,1
1,2,45,2
1,2,46,1
3,2,25,2
1,2,35,1
1,2,31,2
2,1,35,2
4,2,86,2
1,1,29,1
1,1,33,2
1,2,53,2
1,1,72,1
3,1,16,1
1,1,36,2
3,1,34,2
1,1,35,2
1,1,45,2
3,1,22,1
1,2,71,1
1,2,70,2
1,1,72,1
4,2,64,2
3,1,18,2
3,1,16,2
4,1,64,1
1,1,29,1
1,1,28,2
1,1,22,2
1,1,61,2
1,1,67,1
1,1,65,2
2,1,67,1
2,1,42,2
1,1,51,1
1,1,49,2
3,1,34,1
4,2,73,1
5,2,44,2
1,1,41,2
3,1,23,2
3,2,30,2
1,1,48,2
1,1,44,2
1,1,52,1
3,2,20,1
3,2,20,1
3,2,20,1
3,2,24,1
1,1,53,2
1,1,52,1
1,2,36,1
3,1,39,1
1,1,60,1
5,2,65,2
1,1,66,1
5,1,35,1
1,1,34,1
1,1,62,2
1,2,23,2
1,2,62,1
4,2,69,2
3,1,20,1
1,2,65,2
6,2,49,2
1,2,62,1
1,1,47,1
2,1,24,2
3,1,18,1
1,1,66,2
1,1,61,1
3,2,46,2
1,1,47,2
1,1,63,2
1,1,58,1
1,1,64,2
1,1,61,1
5,2,54,1
2,1,42,1
2,1,50,2
1,1,29,2
1,1,28,1
1,2,43,2
4,1,62,2
1,1,37,2
2,2,27,1
1,2,29,2
1,1,72,1
1,1,69,2
1,1,29,1
1,1,62,2
5,2,54,2
4,2,96,2
4,2,78,2
3,1,27,1
1,1,56,1
1,1,48,1
1,9,84,2
3,2,32,1
5,1,36,1
5,1,33,2
3,1,24,1
1,2,29,2
1,1,28,1
1,1,39,1
1,1,34,1
1,1,26,1
1,1,27,2
1,2,59,2
3,1,23,1
1,1,56,1
1,1,49,2
5,2,62,2
4,2,85,1
1,2,58,2
1,1,24,2
1,1,75,1
1,1,62,2
3,1,20,2
1,1,43,2
6,1,32,2
1,1,59,1
1,1,46,1
